spotify_song_id,danceability,acousticness,valence,tempo,energy,time_signature,mode,loudness,key,id
1jsymmUYkC76PZcCgZTG49,0.125,0.992,0.102,79.724,0.055,4,0,-26.82,4,0
2dVMQ0MWkOspUA2pLNaag2,0.0856,0.443,0.0314,74.541,0.0613,4,1,-23.105,10,1
1upQiytDIEZfl9ItruoXuC,0.204,0.927,0.0547,116.2,0.0331,3,0,-24.044,2,2
0dBeZNIXFp3P5RnNQGEu2x,0.136,0.837,0.0962,99.648,0.0868,4,0,-24.806,0,3
3DnLGuX4YU3PGein8vo5Zt,0.44,0.995,0.115,70.188,0.00506,5,0,-35.112,2,4
3wz6PzV1b7cEFPPSz76H8S,0.45,0.64,0.379,154.142,0.454,3,1,-11.46,11,5
5pg9vSNAOFLtyZpUU42cBo,0.213,0.982,0.0377,76.19,0.145,3,1,-19.339,11,6
614GvG7YckXnPC9nCVeN0P,0.587,0.966,0.719,107.416,0.121,4,1,-24.121,5,7
6Fn1nJXDFywPRM4J6KsTr2,0.319,0.988,0.0835,95.365,0.0712,4,1,-26.415,1,8
4zo9nVH8uBk5DnUa92ogWn,0.121,0.983,0.038,168.037,0.0791,1,1,-21.275,0,9
5U2eLcIC0k1gHAnlJCLqai,0.182,0.805,0.137,60.402,0.14,4,0,-20.28,9,10
369eueSk6LXTh6u5hYR1b2,0.133,0.966,0.0344,83.174,0.119,4,1,-22.884,7,11
0JOZf6b4ubKHIVrwnxVbXQ,0.0685,0.957,0.0356,76.187,0.0107,4,1,-28.516,1,12
5vpIknqvBAu3UUmZtImOOx,0.0785,0.902,0.032,81.191,0.196,4,1,-20.026,9,13
6HGzj1FMXVBAi2AtBCbhCQ,0.184,0.74,0.163,81.679,0.0878,3,1,-19.386,9,14
370TxU3tPIvVLmCrGd2EZ6,0.383,0.995,0.069,115.803,0.17,3,1,-21.87,9,15
4fM3elAWY0M2fDVW6rg9IQ,0.142,0.937,0.114,78.063,0.165,4,0,-15.036,4,16
2cIUOae4mpQt5PsD8Mqver,0.0906,0.791,0.0309,86.672,0.0619,4,0,-27.055,9,17
3cCes9MpyhBc968bakRvWU,0.433,0.995,0.423,99.964,0.0616,4,1,-20.494,7,18
70nMUxP46mAcjW5iRpRiyN,0.223,0.987,0.0468,115.163,0.0299,3,1,-27.344,11,19
72Dtp8jjytFyg4ryr37Iqi,0.368,0.986,0.103,103.039,0.116,4,1,-23.524,6,20
3YwpEWGk8QSIYPG8P4eOFx,0.115,0.98,0.0555,178.716,0.0357,3,0,-24.281,2,21
2lBUvk3cqv01K66QrqLzif,0.412,0.847,0.386,155.932,0.424,3,0,-14.637,0,22
7nZxhcfI6Bn5623FMxdliU,0.153,0.966,0.0393,93.704,0.129,0,1,-19.103,9,23
2pxM1i3B5CpUZNTy8laF3h,0.234,0.749,0.127,85.799,0.271,4,1,-15.996,5,24
7sMWvMFg2eJ7pfVoeefS64,0.1,0.966,0.0993,83.482,0.105,3,0,-15.831,9,25
1lIcdDpGlc2mO2LYA0f5KM,0.137,0.941,0.0365,87.682,0.0625,3,1,-22.77,2,26
3sdrzlJmVJxQTC5gtfs4M4,0.115,0.935,0.244,168.953,0.0637,4,0,-23.81,0,27
0O9KHU71WQkr8PAZl3Tpqb,0.339,0.985,0.353,110.872,0.135,5,1,-21.072,1,28
4v3o4IJt1VRDNiM2LCoOXV,0.294,0.955,0.187,96.574,0.305,4,0,-15.623,0,29
7vpL0VsR8wBGJ2vZKhxHNx,0.354,0.979,0.181,146.956,0.116,4,1,-19.229,5,30
6vtY2LUeXJ7KISwgiTu0Ph,0.0767,0.938,0.0479,79.803,0.0223,3,1,-27.684,7,31
4A8DzH3u3o7sukAqtjmIJT,0.351,0.993,0.622,101.711,0.167,4,1,-26.964,10,32
3wEzlLcMYNAIssspEyBK6z,0.181,0.929,0.035,72.657,0.0854,4,0,-17.318,5,33
5nsYZFNyMefd50yamWgMfy,0.274,0.689,0.315,131.962,0.434,4,1,-11.61,2,34
1H9rGpQ1Xqh45Y13mzfJvU,0.138,0.983,0.0661,95.1,0.0121,3,0,-25.735,10,35
64SmfekfWcFnTedsr6kKyy,0.135,0.973,0.0307,89.063,0.00257,4,1,-39.28,5,36
393IXhr8v1Y5Ze5DOf9jaV,0.361,0.928,0.268,123.718,0.105,4,1,-20.101,2,37
2yUNna6E6MKHiCkKdvA5Uo,0.156,0.927,0.0374,135.369,0.0262,3,0,-26.034,4,38
5ztLCIjBElyDk5qXfGRNNP,0.303,0.972,0.329,160.775,0.265,4,0,-23.025,0,39
3RbJx9eautRhPZ70vbDLu2,0.382,0.995,0.264,64.954,0.00892,4,0,-32.563,4,40
6nywzGnK18ZkKoQ5DY7aD5,0.0906,0.965,0.0353,85.443,0.0296,4,1,-26.753,8,41
6ihmNEB3aErjlj85A8lGZf,0.448,0.88,0.377,99.602,0.343,4,0,-22.028,11,42
7e8ZbMDwjdbUHWsoMOlZCd,0.263,0.876,0.228,129.095,0.27,4,0,-16.85,2,43
2n4qxtA4E5aUz3JPa0ny9o,0.0742,0.927,0.0278,78.927,0.0363,3,1,-31.432,1,44
6HH8ZoDIe5qw8EYTTHVZh7,0.273,0.992,0.0387,86.697,0.114,4,1,-22.756,10,45
55xly70WJY1cx5qsoogaqs,0.345,0.91,0.0563,120.254,0.149,4,1,-23.888,9,46
3bYDqwgjJ1ZjUUTkwIeRKo,0.274,0.992,0.119,133.658,0.0843,4,0,-26.766,9,47
40GqIVzbcamQsIlWZsgUqo,0.208,0.807,0.118,136.86,0.133,4,1,-20.746,0,48
2URjwQulkDiDmFdjSPrcSc,0.0623,0.972,0.0428,70.2,0.00246,3,1,-39.609,0,49
7nHvS6UUhz2gJhj8TIROLX,0.0876,0.912,0.0298,86.437,0.0865,4,0,-20.431,10,50
2XSBXz4uDvx1PQPYJWQpcK,0.316,0.993,0.0834,74.144,0.111,4,1,-21.189,2,51
0JXLAImibeNEoBMZKywrGI,0.179,0.578,0.0388,62.676,0.00761,3,1,-37.35,0,52
65ncpfpqS6d0oF9UaIbvBn,0.313,0.995,0.104,130.213,0.0368,4,0,-26.294,2,53
5GkvPnH2sZRda9YSk92dcO,0.401,0.994,0.117,62.836,0.0323,3,0,-25.753,1,54
1brH9m4Q2LHTuwxaKoMTn5,0.19,0.923,0.036,73.796,0.136,4,0,-15.346,0,55
