	anger	fear	joy	analytical	confident	tentative	danceability	acousticness	valence	tempo	energy	time_signature	mode	loudness	key
0	0.0	0.0	0.684003	0.0	0.0	0.579049	0.368	0.986	0.103	103.039	0.116	4.0	1.0	-23.524	6.0
1	0.0	0.0	0.684003	0.0	0.0	0.579049	0.368	0.986	0.103	103.039	0.116	4.0	1.0	-23.524	6.0
2	0.0	0.0	0.0	0.0	0.0	0.936899	0.461	0.221	0.0389	82.376	0.391	4.0	0.0	-10.292	6.0
3	0.0	0.0	0.591415	0.779406	0.0	0.855046	0.171	0.767	0.0585	124.978	0.0185	4.0	0.0	-37.145	4.0
4	0.0	0.0	0.859161	0.0	0.0	0.0	0.324	0.987	0.0383	120.169	0.0379	4.0	1.0	-25.247	11.0
5	0.0	0.0	0.81388	0.0	0.0	0.7473	0.273	0.74	0.036	112.277	0.0201	4.0	1.0	-25.591	7.0
6	0.0	0.0	0.753195	0.0	0.0	0.682972	0.511	0.151	0.35	95.013	0.728	4.0	0.0	-11.486	4.0
7	0.0	0.0	0.744104	0.0	0.0	0.526858	0.134	0.962	0.0336	75.134	0.113	4.0	0.0	-22.982	9.0
8	0.0	0.0	0.617211	0.520612	0.0	0.737266	0.448	0.976	0.064	112.289	0.0248	4.0	1.0	-27.715	0.0
9	0.0	0.0	0.818066	0.0	0.0	0.0	0.328	0.0839	0.0668	133.918	0.475	4.0	0.0	-8.588	6.0
10	0.0	0.0	0.967454	0.0	0.0	0.0	0.718	0.822	0.701	113.813	0.332	4.0	0.0	-13.213	10.0
11	0.0	0.0	0.638316	0.0	0.0	0.636573	0.64	0.934	0.759	120.819	0.311	4.0	1.0	-15.701	8.0
12	0.0	0.0	0.660517	0.0	0.0	0.840028	0.263	0.876	0.228	129.095	0.27	4.0	0.0	-16.85	2.0
13	0.690996	0.0	0.54658	0.676263	0.0	0.639737	0.515	0.239	0.683	106.96	0.489	4.0	0.0	-10.021	4.0
14	0.0	0.0	0.702493	0.0	0.856204	0.0	0.264	0.903	0.171	116.51	0.182	4.0	1.0	-17.877	2.0
15	0.54731	0.524042	0.658037	0.0	0.0	0.590668	0.82	0.297	0.856	114.885	0.749	4.0	0.0	-7.31	11.0
16	0.0	0.0	0.715855	0.576642	0.0	0.0	0.66	0.826	0.264	87.514	0.301	4.0	0.0	-15.523	0.0
17	0.0	0.0	0.829238	0.0	0.625205	0.0	0.634	0.857	0.644	137.34	0.668	4.0	1.0	-10.344	5.0
18	0.529912	0.0	0.695312	0.0	0.0	0.0	0.0628	0.644	0.0365	68.188	0.202	4.0	1.0	-25.167	11.0
19	0.555177	0.57931	0.625066	0.0	0.0	0.88951	0.466	0.545	0.144	166.902	0.644	4.0	1.0	-7.356	1.0
20	0.0	0.0	0.0	0.0	0.0	0.0	0.234	0.834	0.0527	66.139	0.374	4.0	1.0	-15.407	5.0
21	0.0	0.0	0.747432	0.0	0.0	0.724637	0.41	0.863	0.0354	74.972	0.222	4.0	1.0	-20.665	2.0
22	0.0	0.0	0.94752	0.0	0.0	0.0	0.595	0.875	0.661	140.134	0.417	3.0	1.0	-11.511	3.0
23	0.0	0.0	0.776315	0.0	0.0	0.0	0.759	0.932	0.856	96.733	0.417	4.0	1.0	-10.368	5.0
24	0.0	0.0	0.700835	0.596122	0.0	0.623954	0.403	0.978	0.182	112.232	0.0849	4.0	1.0	-20.62	5.0
25	0.0	0.0	0.819725	0.0	0.0	0.0	0.486	0.674	0.48	129.528	0.619	4.0	0.0	-8.844	5.0
26	0.0	0.0	0.756996	0.500975	0.0	0.0	0.144	0.985	0.132	94.496	0.023	4.0	1.0	-24.469	5.0
27	0.0	0.0	0.651239	0.0	0.0	0.849113	0.558	0.942	0.287	160.052	0.491	4.0	0.0	-14.688	9.0
28	0.0	0.0	0.0	0.920556	0.828525	0.0	0.355	0.000326	0.0305	99.908	0.316	4.0	1.0	-15.187	2.0
29	0.0	0.0	0.678864	0.633976	0.61457	0.0	0.826	0.441	0.272	119.051	0.436	4.0	1.0	-9.583	1.0
30	0.0	0.0	0.912331	0.656156	0.915214	0.0	0.348	0.647	0.21	164.249	0.579	4.0	0.0	-11.219	11.0
31	0.0	0.0	0.852958	0.0	0.0	0.0	0.376	0.375	0.713	94.63	0.395	0.0	1.0	-18.64	2.0
32	0.0	0.0	0.718056	0.786707	0.709964	0.0	0.827	0.995	0.39	61.985	0.00906	3.0	1.0	-24.708	7.0
33	0.0	0.0	0.709215	0.690897	0.792621	0.0	0.587	0.966	0.719	107.416	0.121	4.0	1.0	-24.121	5.0
34	0.0	0.0	0.648065	0.714336	0.0	0.673723	0.122	0.825	0.0323	95.484	0.0261	4.0	0.0	-32.465	4.0
35	0.0	0.0	0.694145	0.0	0.0	0.0	0.305	0.942	0.136	70.052	0.249	4.0	1.0	-16.451	2.0
36	0.0	0.0	0.574446	0.0	0.0	0.0	0.361	0.864	0.345	155.975	0.419	4.0	1.0	-15.677	7.0
37	0.0	0.0	0.700151	0.0	0.0	0.960639	0.15	0.971	0.0345	92.107	0.127	4.0	1.0	-21.071	7.0
38	0.0	0.0	0.625368	0.0	0.801423	0.0	0.421	0.819	0.553	88.537	0.426	4.0	1.0	-11.011	2.0
39	0.532309	0.0	0.618052	0.732206	0.0	0.0	0.0641	0.594	0.0389	71.925	0.324	1.0	1.0	-16.049	5.0
40	0.546044	0.0	0.728292	0.0	0.0	0.667502	0.352	0.124	0.492	134.418	0.664	3.0	0.0	-13.291	2.0
41	0.0	0.0	0.618556	0.0	0.0	0.607545	0.138	0.983	0.0661	95.1	0.0121	3.0	0.0	-25.735	10.0
42	0.0	0.0	0.833799	0.0	0.0	0.0	0.14	0.867	0.0331	142.239	0.159	3.0	0.0	-17.845	1.0
43	0.0	0.0	0.627736	0.657877	0.0	0.844417	0.234	0.749	0.127	85.799	0.271	4.0	1.0	-15.996	5.0
44	0.536984	0.0	0.577535	0.0	0.0	0.727629	0.517	0.98	0.892	203.05	0.431	4.0	1.0	-9.537	8.0
45	0.0	0.0	0.906778	0.769958	0.88533	0.0	0.459	0.776	0.271	79.7	0.623	4.0	1.0	-8.286	7.0
46	0.0	0.0	0.644947	0.0	0.0	0.509414	0.638	0.666	0.357	145.81	0.258	4.0	1.0	-19.167	0.0
47	0.0	0.0	0.0	0.0	0.0	0.60858	0.268	0.564	0.0475	109.997	0.455	4.0	1.0	-15.155	8.0
48	0.0	0.0	0.0	0.711937	0.0	0.664175	0.577	0.0953	0.177	126.988	0.729	4.0	0.0	-14.376	11.0
49	0.0	0.0	0.821313	0.0	0.947749	0.0	0.417	0.877	0.708	176.499	0.228	4.0	1.0	-23.152	2.0
50	0.0	0.0	0.953486	0.0	0.966107	0.0	0.644	0.00341	0.581	143.977	0.817	4.0	0.0	-10.354	7.0
51	0.0	0.0	0.587127	0.857528	0.0	0.0	0.342	0.881	0.146	119.954	0.215	4.0	0.0	-23.566	4.0
52	0.0	0.0	0.758788	0.0	0.0	0.0	0.388	0.228	0.312	91.863	0.45	4.0	0.0	-9.894	7.0
53	0.0	0.0	0.0	0.0	0.0	0.920327	0.184	0.995	0.151	170.612	0.00527	3.0	0.0	-37.264	1.0
54	0.0	0.0	0.587884	0.608567	0.0	0.0	0.433	0.995	0.423	99.964	0.0616	4.0	1.0	-20.494	7.0
